DN Station ID,Sensor ID,Buoy Type,Deployment Date,Deployment Latitude,Deployment Longitude,Drift Distance (km),Mean Speed (m/s),Total Duration (d),IMEI,Sampling Frequency (hh:mm)
P031,2019P187,SVP,2019-10-09,84.5518,135.2312,2059.4,0.1212,197,300234066417330,00:30
P032,2019P143,SVP,2019-10-07,85.223,133.583,5425.4,0.1872,373,300234010077180,01:00
P033,2019P135,SVP,2019-10-09,84.9843,133.1711,290.5,0.1229,30,300234065988570,01:00
P034,2019P146,SVP,2019-10-10,84.9188,135.5024,4257.0,0.1546,343,300234065091110,01:00
P035,2019P148,SVP,2019-10-10,85.0072,133.2826,4722.4,0.1591,356,300234065094850,01:00
P037,2019P102,SVP,2019-10-26,85.5008,129.5291,7021.1,0.1537,441,300234067705760,00:10
P038,2019P105,SVP,2019-10-26,85.4807,125.3858,5321.2,0.1443,356,300234067707750,00:10
P039,2019P126,SVP,2019-10-09,84.8823,131.8792,798.9,0.1121,82,300234066084230,01:00
P041,2019P103,SVP,2019-10-10,84.9514,135.8694,5601.9,0.1218,519,300234067706680,00:10
P042,2019P101,SVP,2019-10-10,84.9143,136.111,1175.9,0.1002,127,300234067705700,00:10
P043,2019P92,SVP,2019-10-05,84.8786,131.0537,3293.7,0.1209,313,300234067700760,00:10
P044,2019P182,SVP,2019-09-30,85.8344,118.1879,10234.8,0.2376,499,300234066419320,00:30
P045,2019P122,SVP,2019-10-09,85.2806,135.8112,1084.2,0.1088,115,300234066080220,01:00
P046,2019P184,SVP,2019-09-30,86.184,125.3444,11169.5,0.2591,499,300234066318290,00:30
P048,2019P90,SVP,2019-10-07,85.3086,137.6978,6341.7,0.1473,403,300234067608220,00:10
P049,2019P88,SVP,2019-10-07,84.8712,136.8205,1436.5,0.1107,152,300234067509680,00:10
P050,2019P91,SVP,2019-10-07,85.0568,138.7657,1968.5,0.1195,191,300234067700680,00:10
P051,2019P183,SVP,2019-10-21,85.1075,132.723,1023.3,0.1103,107,300234066253880,00:30
P052,2019P150,SVP,2019-10-21,85.0792,132.9068,1962.6,0.1188,188,300234068314190,01:00
