Deployment Leg,Sensor ID,DN Station ID,IMEI,Deployment Date,Deployment Datetime,First Data Datetime,Last Data Datetime,Active,Sampling Frequency (hh:mm),Re-deployed As,Formerly Deployed As,Buoy Type,Manufacturer,Model,PI,Data Authors
1,2019P152,P056,300234068218450,2019-09-29,2019-09-29 06:50:00,2019-09-29 07:00:00,2020-10-18 21:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P155,P057,300234068316210,2019-09-29,2019-09-29 01:40:00,2019-09-29 02:00:00,2020-12-17 12:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P156,P058,300234068312200,2019-09-28,2019-09-28 08:15:00,2019-09-28 10:00:00,2021-02-03 03:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P22,P060,300234062887920,2019-10-10,2019-10-10 23:00:00,2019-10-11 00:00:00,2020-05-13 00:00:00,0,03:00,,,SVP,MetOcean Telematics,SVP-B,Haas,Mario Hoppmann; Christian Haas; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P123,P061,300234066081220,2019-10-19,2019-10-19 01:52:00,2019-10-19 06:00:00,2020-10-04 00:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann; EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P128,P063,300234066085220,2019-10-10,2019-10-10 23:00:00,2019-10-10 23:00:00,2020-11-09 21:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann; EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019T47,P064,300234064817930,2019-10-13,2019-10-13 04:35:00,2019-10-13 14:01:13,2020-09-18 19:09:31,0,12:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Bin Cheng; Ruibo Lei; Guangyu Zuo
1,2019T56,P065,300234065176750,2019-11-02,2019-11-02 01:44:00,2019-11-02 01:44:47,2020-06-29 15:00:13,0,02:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Lei,Bin Cheng; Ruibo Lei; Jari Haapala; Mario Hoppmann
1,2019P113,P066,300234061161600,2019-12-10,2019-12-10 22:30:00,2019-12-10 22:59:57,2020-09-22 18:00:00,0,01:00,,,SVP,MarlinYUG,iceST/30,Haas,Christian Haas; Dmitry V Divine; Igor Sheikin; Polona Itkin
1,2019P112,P067,300234061161590,2019-12-11,2019-12-11 06:30:00,2019-12-11 07:00:02,2020-10-07 01:59:58,0,01:00,,,SVP,MarlinYUG,iceST/30,Haas,Christian Haas; Dmitry V Divine; Igor Sheikin
1,2019P119,P068,300234061164580,2019-12-11,2019-12-11 14:30:00,2019-12-11 15:00:00,2020-11-15 09:00:00,0,01:00,,,SVP,MarlinYUG,iceST/30,Haas,Christian Haas; Dmitry V Divine; Igor Sheikin; Polona Itkin
1,2019P114,P069,300234061162590,2019-12-11,2019-12-11 22:00:00,2019-12-12 00:00:00,2020-04-13 16:56:04,0,01:00,,,SVP,MarlinYUG,iceST/30,Haas,Christian Haas; Dmitry V Divine; Polona Itkin
1,2019P139,P022,300234065985570,2019-10-07,2019-10-07 02:19:00,2019-10-08 00:30:33,2021-01-27 01:30:32,0,01:00,,,SVP,TUT,iSVP,Lei,Ruibo Lei; Guangyu Zuo; Mario Hoppmann; Daniel Watkins; Jennifer Hutchings
1,2019P144,P024,300234065091830,2019-10-07,2019-10-07 02:05:00,2019-10-07 11:30:00,2021-01-27 02:29:59,0,01:00,,,SVP,TUT,iSVP,Lei,Ruibo Lei; Guangyu Zuo; Mario Hoppmann; Daniel Watkins; Jennifer Hutchings
1,2019P124,P040,300234066089220,2019-09-29,2019-09-29 00:36:00,2019-09-29 05:00:00,2021-05-24 00:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann;EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P125,P047,300234066087220,2019-10-10,2019-10-10 00:27:00,2019-10-10 04:00:00,2021-05-24 00:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann; EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P157,P059,300234068312210,2019-09-26,2019-09-26 13:40:00,2019-09-26 14:00:00,2021-05-24 00:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P127,P062,300234066082230,2019-10-10,2019-10-10 23:00:00,2019-10-10 23:00:00,2021-05-24 00:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann; EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
2,2020E1,CO1,300234064132630,2020-02-14,2020-02-14 11:00:00,2020-02-18 14:28:00,2020-08-12 05:44:24,0,01:00,,,Optical Chain and Logger,SAMS Enterprise Ltd,OptiCAL,Granskog,Mats A Granskog; Jørgen Berge; Philip Anderson; Dmitry V Divine; Christian Katlein; Polona Itkin; Ian Raphael; Geir Johnsen; Daniel Vogedes; Tomasz Kopec; Artur Zolich; Maxime Geoffrey; Finlo Cottier; Pedro R De La Torre
2,2020E2,CO1,300234062321110,2020-02-14,2020-02-14 11:24:00,2020-02-18 15:00:05,2020-07-02 17:00:30,0,01:00,,,Optical Chain and Logger,SAMS Enterprise Ltd,OptiCAL,Granskog,Mats A Granskog; Jørgen Berge; Philip Anderson; Dmitry V Divine; Christian Katlein; Polona Itkin; Ian Raphael; Geir Johnsen; Daniel Vogedes; Tomasz Kopec; Artur Zolich; Maxime Geoffrey; Finlo Cottier; Pedro R De La Torre
2,2020M29,CO1,300025010644540,2020-02-16,2020-02-16 11:57:00,2020-02-16 12:03:49,2020-07-31 22:00:49,0,01:00,,,IMBFlex,Bruncin,IMBFlex,Hoppmann,Mario Hoppmann; Christian Katlein; Marcel Nicolaus
2,2020T60,CO1,300234066299840,2020-01-08,2020-01-08 07:44:00,2020-01-08 15:01:00,2020-04-22 03:01:51,0,12:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Granskog,Mats A Granskog; Knut V Høyland; Pedro R De La Torre; Dmitry V Divine; Christian Katlein; Polona Itkin; Ian Raphael; Lasse M Olsen
2,2020T61,CO1,300234065768480,2020-02-05,2020-02-05 12:46:00,2020-02-05 14:00:11,2020-07-27 04:00:12,0,02:00,,,Thermistor,SAMS Enterprise Ltd,SIMBA V7,Granskog,Mats A Granskog; Jørgen Berge; Finlo Cottier; Dmitry V Divine; Christian Katlein; Polona Itkin; Lasse M Olsen; Daniel Vogedes; Pedro R De La Torre
2,2020S99,L1,300234066087170,2020-02-10,2020-02-10 08:18:00,2020-02-10 09:01:01,2020-08-06 09:02:59,0,01:00,2020S109,,Snow Buoy,MetOcean Telematics,ICEB-I-TBAS-SH-A,Nicolaus,Marcel Nicolaus; Arttu Juttila; Ian Raphael; Mario Hoppmann
2,2020E3,LM,300234064233210,2020-02-16,2020-02-16 11:26:00,2020-02-18 15:00:11,2020-08-09 13:00:15,0,01:00,,,Optical Chain and Logger,SAMS Enterprise Ltd,OptiCAL,Granskog,Mats A Granskog; Jørgen Berge; Philip Anderson; Dmitry V Divine; Christian Katlein; Polona Itkin; Ian Raphael; Geir Johnsen; Daniel Vogedes; Tomasz Kopec; Artur Zolich; Maxime Geoffrey; Finlo Cottier; Pedro R De La Torre
3,2020P212,CO1,300234010303850,2020-03-17,2020-03-17 17:00:00,2020-03-18 10:00:00,2020-03-25 08:00:00,0,01:00,2020P228,,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020P224,CO1,300234068210190,2020-03-12,2020-03-12 14:00:00,2020-03-12 14:00:00,2020-03-12 17:00:00,0,01:00,2020P227,2019P153,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann
3,2020P225,CO1,300234068210310,2020-04-23,2020-04-23 15:00:00,2020-04-23 15:00:00,2020-11-11 14:00:01,0,01:00,,2020P154,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann
3,2020P226,CO1,300234068118580,2020-04-24,2020-04-24 17:00:00,2020-04-24 17:00:00,2020-08-08 18:00:00,0,01:00,,2019P161,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann
3,2020P227,CO1,300234068210190,2020-03-12,2020-03-12 17:00:00,2020-03-12 17:00:00,2020-09-03 07:15:59,0,01:00,,2019P153; 2020P224,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann
3,2020P228,CO1,300234010303850,2020-05-12,2020-05-12 10:00:00,2020-05-12 10:00:00,2020-10-27 00:00:00,0,01:00,,2020P212,SVP,MetOcean Telematics,SVP-I-BXGS-P,Haapala,Jari Haapala; Marko Mäkynen; Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Ruibo Lei
3,2020R10,CO1,300025060612750,2020-03-08,2020-03-08 14:47:00,2020-03-08 15:00:03,2020-07-21 10:00:02,0,01:00,,,Radiation Station,Bruncin,Radiation Station,Nicolaus,Marcel Nicolaus; Philipp Anhaus; Mario Hoppmann; Ran Tao; Christian Katlein
